# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
1 -0.49043093 0.06319240 0.86918582 0.00047730 2.473603 0.054647 3.234590 10 Camera_0010.png

2 0.79212510 -0.01155613 -0.61023676 -0.00392182 1.646644 -0.007039 1.321065 20 Camera_0020.png

3 0.94530061 -0.05590673 -0.32022046 0.02720385 0.428589 -0.072248 2.152498 30 Camera_0030.png

4 0.99511020 -0.00326555 0.09240356 0.03473622 -0.379934 -0.081594 1.047523 40 Camera_0040.png

5 -0.66697562 -0.18303948 0.69154521 0.20833936 2.188986 0.153229 2.724493 50 Camera_0050.png

6 0.83458655 0.16738370 -0.50570019 -0.14041123 1.482175 0.794244 1.800010 60 Camera_0060.png

7 0.94758805 0.30546748 -0.09313201 0.00963976 0.337433 1.027034 1.406828 70 Camera_0070.png

8 0.95064627 0.28107087 0.12935027 0.02322382 -0.918403 1.242458 1.272089 80 Camera_0080.png

